# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/Ooceraea_biroi_genome/GCF_003672135.1_Obir_v5.4_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR2969431_dupsRemoved.bam" "SRR2969433_dupsRemoved.bam" "SRR2969435_dupsRemoved.bam" "SRR2969436_dupsRemoved.bam" "SRR2969437_dupsRemoved.bam" "SRR2969438_dupsRemoved.bam" "SRR2969440_dupsRemoved.bam" "SRR2969447_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2969431_dupsRemoved.bam	SRR2969433_dupsRemoved.bam	SRR2969435_dupsRemoved.bam	SRR2969436_dupsRemoved.bam	SRR2969437_dupsRemoved.bam	SRR2969438_dupsRemoved.bam	SRR2969440_dupsRemoved.bam	SRR2969447_dupsRemoved.bam
gene-LOC105288174	NC_039516.1	3484612	3488046	-	3435	852	830	610	677	630	589	848	761
gene-LOC105288173	NC_039516.1	3488917	3500347	-	11431	5326	2955	2927	2526	3589	2100	5995	2609
gene-LOC105288171	NC_039516.1	3504469	3517399	+	12931	17285	16233	13440	14554	11382	11391	15973	14647
gene-LOC105288170	NC_039516.1	3518349	3522384	-	4036	2668	2516	1283	1618	1419	1522	3000	2478
gene-LOC105288169	NC_039516.1	3535478	3574431	+	38954	688	589	766	560	964	652	680	492
gene-LOC105288165	NC_039516.1	3548147	3549242	-	1096	0	0	0	0	0	0	0	0
gene-LOC105288166	NC_039516.1	3550864	3551709	-	846	0	0	0	0	0	0	0	0
gene-LOC105288167	NC_039516.1	3554086	3555040	-	955	0	0	0	0	0	0	0	0
gene-LOC105288168	NC_039516.1	3557212	3559091	-	1880	0	0	0	0	0	0	0	0
gene-LOC105288163	NC_039516.1	3626965	3661342	+	34378	103	235	92	100	83	107	166	149
gene-LOC105288159	NC_039516.1	3707500	3769028	-	61529	25094	22711	18307	17515	16956	14980	23099	19685
gene-LOC105288161	NC_039516.1	3771428	3797492	-	26065	7331	6628	5790	5959	5985	5788	8777	6349
gene-LOC105288162	NC_039516.1	3779920	3783305	+	3386	0	0	0	0	0	0	0	0
gene-LOC113562918	NC_039516.1	3797621	3801593	+	3973	296	278	595	634	703	818	311	354
gene-LOC113562885	NC_039516.1	3804885	3832486	+	27602	19	8	36	29	35	29	16	17
gene-LOC105288155	NC_039516.1	3805073	3869988	+	64916	3901	2632	3173	3061	4785	2926	5886	2507
gene-LOC105288154	NC_039516.1	3871120	3872230	-	1111	381	498	220	288	261	313	341	513
gene-LOC105288153	NC_039516.1	3878090	3879150	-	1061	17	8	8	7	7	6	11	12
gene-LOC113562896	NC_039516.1	3880261	3881039	+	779	0	0	0	2	0	0	1	0
gene-LOC113562895	NC_039516.1	3880536	3881349	-	814	0	0	1	0	1	0	1	0
gene-LOC105282940	NC_039516.1	3881582	3988122	+	106541	2153	1777	1378	1525	1324	1171	2243	1693
gene-LOC105282937	NC_039516.1	3934864	3945062	-	10199	0	0	0	0	0	0	0	0
gene-LOC105282941	NC_039516.1	3989091	3992175	+	3085	5	4	5	10	2	4	11	4
gene-LOC105282942	NC_039516.1	4048967	4098985	-	50019	793	617	1215	1069	875	583	825	545
gene-LOC105282943	NC_039516.1	4187361	4188575	-	1215	1	31	208	149	9	46	17	0
gene-LOC105282944	NC_039516.1	4257649	4261572	+	3924	52	11	73	59	70	46	41	23
gene-LOC105282945	NC_039516.1	4265556	4269241	+	3686	18	9	15	16	14	15	10	13
gene-LOC105282946	NC_039516.1	4303596	4323846	-	20251	245	441	135	338	115	352	166	450
gene-LOC105282949	NC_039516.1	4329318	4334045	+	4728	479	386	261	356	273	305	449	515
gene-LOC105282948	NC_039516.1	4334186	4344697	-	10512	14593	9649	6748	7324	6382	4748	12938	10220
gene-LOC105282956	NC_039516.1	4347373	4399297	-	51925	2418	2885	2339	2443	4026	3544	4566	3632
gene-LOC105282962	NC_039516.1	4353679	4379424	+	25746	0	0	0	0	0	0	0	0
gene-LOC105282954	NC_039516.1	4387670	4394563	+	6894	0	0	0	0	0	0	0	0
gene-LOC105282953	NC_039516.1	4399432	4401548	-	2117	2152	2249	1144	1125	1304	1356	2083	2314
gene-LOC105282952	NC_039516.1	4403004	4404702	-	1699	1637	1831	843	875	857	1008	1486	1691
gene-LOC105282951	NC_039516.1	4404841	4408206	+	3366	3571	3729	1936	1873	2325	1691	3764	3348
gene-LOC105282950	NC_039516.1	4408074	4410100	-	2027	2116	2040	1292	1304	1438	1519	2421	2244
gene-LOC105282957	NC_039516.1	4410339	4413007	-	2669	4871	4054	2606	2174	2966	2409	5394	3908
gene-LOC105282959	NC_039516.1	4416265	4417119	-	855	7	3	8	8	7	10	8	6
gene-LOC105282960	NC_039516.1	4417330	4419820	+	2491	1803	2350	1170	1231	948	1368	1705	2628
gene-LOC105282963	NC_039516.1	4418846	4442273	-	23428	42	46	40	51	20	50	52	39
gene-LOC105282961	NC_039516.1	4445836	4468293	+	22458	41	38	37	28	35	21	46	22
gene-LOC105275904	NC_039516.1	4506488	4513131	+	6644	390	386	229	228	188	155	320	287
gene-LOC105275902	NC_039516.1	4515748	4678079	-	162332	365	304	231	288	241	189	315	205
gene-LOC105275901	NC_039516.1	4678107	4680231	+	2125	22	12	204	177	265	202	33	11
gene-LOC105275900	NC_039516.1	4679395	4689647	-	10253	3531	3659	3706	3650	4283	4284	4408	3733
gene-LOC105275899	NC_039516.1	4694444	4704897	+	10454	795	714	735	631	658	540	936	558
gene-LOC105275898	NC_039516.1	4707854	4713211	+	5358	1903	1550	984	1365	740	1292	1030	1566
gene-LOC105275897	NC_039516.1	4713084	4714767	-	1684	1612	1274	696	636	832	722	1624	1268
gene-LOC105275896	NC_039516.1	4721319	4906919	-	185601	6041	4408	3479	4190	3295	2682	5430	4345
gene-LOC105275895	NC_039516.1	4954350	4958275	-	3926	89	1	7	6	7	2	3	1
gene-LOC113562934	NC_039516.1	4959315	4961956	-	2642	1	0	1	0	3	0	0	0
gene-LOC105275915	NC_039516.1	4963191	4975622	-	12432	12	6	11	21	4	4	0	4
gene-LOC105275894	NC_039516.1	4967830	4970184	-	2355	0	0	0	0	0	0	0	0
gene-LOC105275893	NC_039516.1	5064498	5085801	-	21304	205	199	147	177	184	173	349	178
gene-LOC105275914	NC_039516.1	5102117	5105747	+	3631	2157	2398	1108	1319	1094	1509	1922	2626
gene-LOC105275888	NC_039516.1	5105900	5119535	-	13636	957	1231	675	883	583	696	862	1057
gene-LOC105275889	NC_039516.1	5119689	5122086	+	2398	255	316	280	573	197	281	245	351
gene-LOC105275891	NC_039516.1	5122016	5124991	+	2976	2160	2339	1652	1689	1502	1674	2467	2183
gene-LOC105275892	NC_039516.1	5124411	5129416	-	5006	1164	887	609	760	626	725	1344	1035
gene-LOC105275886	NC_039516.1	5130907	5281390	-	150484	5582	5266	3779	3864	3180	2657	4710	3915
gene-LOC105275887	NC_039516.1	5246839	5260322	+	13484	0	0	0	0	0	0	0	0
gene-LOC105275885	NC_039516.1	5336746	5338422	+	1677	7879	9468	5633	4823	5457	5348	7165	9567
gene-LOC105275884	NC_039516.1	5338685	5339542	+	858	1936	1818	1074	1054	1219	1152	1593	1339
gene-LOC105275883	NC_039516.1	5370829	5425007	+	54179	228	224	196	141	154	158	281	194
gene-LOC105275881	NC_039516.1	5425301	5462690	+	37390	3647	3164	2904	2849	2838	2376	3018	2291
gene-LOC113561451	NC_039516.1	5455909	5458079	+	2171	0	0	0	0	0	0	0	0
gene-LOC105275879	NC_039516.1	5467089	5472239	-	5151	995	720	816	762	795	541	775	559
gene-LOC113562900	NC_039516.1	5472397	5473149	+	753	21	35	8	19	18	8	36	29
gene-LOC105275878	NC_039516.1	5472871	5475154	-	2284	3667	3474	1748	1988	2069	2153	4011	3474
gene-LOC105275912	NC_039516.1	5478136	5481314	-	3179	8	1	2	2	6	4	2	2
gene-LOC113562976	NC_039516.1	5511799	5517682	-	5884	0	0	0	2	0	0	4	1
gene-LOC105275875	NC_039516.1	5725907	5812293	-	86387	1441	1788	880	1049	849	848	1429	1506
gene-LOC105275876	NC_039516.1	5783231	5803331	+	20101	0	0	0	0	0	0	0	0
gene-LOC105275877	NC_039516.1	5803740	5817111	+	13372	2504	2124	2214	2073	2398	1791	3141	2008
gene-LOC105275872	NC_039516.1	5817323	5821953	-	4631	739	690	427	556	459	465	721	601
gene-LOC105275871	NC_039516.1	5825913	5830153	+	4241	4004	4868	2714	2867	2678	3566	4236	5109
gene-LOC105275870	NC_039516.1	5830833	5834811	+	3979	7034	5755	3509	3440	4049	3788	7500	5750
gene-LOC105275865	NC_039516.1	5837256	5841149	+	3894	5217	3640	2318	2276	2917	2001	5858	3736
gene-LOC105275866	NC_039516.1	5841302	5844521	+	3220	344	235	241	178	248	178	426	261
gene-LOC105275868	NC_039516.1	5844520	5846135	-	1616	887	729	487	436	575	441	929	671
gene-LOC105275869	NC_039516.1	5846430	5856808	+	10379	2468	1877	1774	1767	2045	1357	3464	1828
gene-LOC109610760	NC_039516.1	5847632	5850180	-	2549	0	0	0	0	0	0	0	0
gene-LOC105275864	NC_039516.1	5856912	5862170	+	5259	215	101	117	140	169	101	256	114
gene-LOC105275863	NC_039516.1	5862211	5863890	-	1680	1986	2069	1085	1073	1085	1232	2068	1849
gene-LOC105275862	NC_039516.1	5864014	5867239	-	3226	190	156	94	133	92	91	189	191
gene-LOC113562942	NC_039516.1	5867314	5868135	-	822	3	1	0	0	0	0	2	0
gene-LOC105275861	NC_039516.1	5868176	5870154	-	1979	2538	2118	1397	1296	1601	1467	2606	2436
gene-LOC105275859	NC_039516.1	5870210	5872540	+	2331	2212	2060	1215	1199	1385	1385	2308	2243
gene-LOC105275858	NC_039516.1	5872808	5876180	+	3373	4516	3905	2523	2387	2644	2181	4836	3998
gene-LOC105275857	NC_039516.1	5891191	5894241	-	3051	8	22	5	6	7	8	4	9
gene-LOC105275856	NC_039516.1	5925730	5971418	+	45689	135	121	94	86	120	94	114	95
gene-LOC105275855	NC_039516.1	6015204	6066881	-	51678	84	88	48	51	57	32	78	66
gene-LOC105275854	NC_039516.1	6086488	6098937	-	12450	163	102	166	189	280	172	187	81
gene-LOC105275853	NC_039516.1	6099525	6101186	-	1662	1837	1971	1139	1031	1254	1267	2110	2079
gene-LOC105275852	NC_039516.1	6101411	6102343	+	933	1212	1287	767	683	864	799	1190	1245
gene-LOC105275850	NC_039516.1	6102477	6104753	+	2277	812	669	473	410	510	588	773	694
gene-LOC105275851	NC_039516.1	6103212	6141098	-	37887	10868	10655	10331	9151	10460	7805	13138	9285
gene-LOC105275848	NC_039516.1	6141341	6145058	+	3718	1081	858	529	607	599	698	1086	1178
gene-LOC113562897	NC_039516.1	6142888	6144894	-	2007	0	0	0	0	0	0	0	0
gene-LOC105275849	NC_039516.1	6145171	6153702	+	8532	9651	11522	6345	7193	5953	6424	8789	10006
gene-LOC105275911	NC_039516.1	6153724	6168864	-	15141	6698	6898	6376	7690	7520	7933	7083	6665
gene-LOC105275846	NC_039516.1	6159732	6161871	+	2140	0	0	0	0	0	0	0	0
gene-LOC105275847	NC_039516.1	6170785	6172721	-	1937	1898	1615	1030	861	1248	1064	1923	1707
gene-LOC105275845	NC_039516.1	6177431	6470907	+	293477	9030	9872	6154	8014	4446	5696	6709	9220
gene-LOC105275840	NC_039516.1	6183145	6194414	-	11270	0	0	0	0	0	0	0	0
gene-LOC105275841	NC_039516.1	6240919	6245960	-	5042	0	0	0	0	0	0	0	0
gene-LOC105275843	NC_039516.1	6279405	6387203	-	107799	0	0	0	0	0	0	0	0
gene-LOC105275839	NC_039516.1	6471204	6472761	-	1558	2050	2525	1014	1359	836	1597	1751	2433
gene-LOC105275910	NC_039516.1	6472991	6538647	-	65657	648	567	435	478	398	288	522	368
gene-LOC105275837	NC_039516.1	6573197	6654901	-	81705	1113	757	662	771	705	556	1015	744
gene-LOC105275838	NC_039516.1	6654996	6655748	+	753	1249	1065	778	724	849	725	1301	1026
gene-LOC105275836	NC_039516.1	6657258	6679915	+	22658	3703	2683	3566	2942	2400	2084	3451	2555
gene-LOC105275835	NC_039516.1	6684125	6694177	+	10053	7980	6606	5020	4168	5486	4262	9773	6455
gene-LOC105275833	NC_039516.1	6694208	6695188	+	981	1774	1583	1015	863	1130	887	2029	1588
gene-LOC105275834	NC_039516.1	6695268	6701335	-	6068	355	285	222	153	222	169	410	255
gene-LOC109610761	NC_039516.1	6718925	6720940	+	2016	38	55	17	12	16	11	31	18
gene-LOC105275829	NC_039516.1	6720525	6765256	-	44732	6954	6999	3831	5251	4919	3860	6281	4959
gene-LOC105275828	NC_039516.1	6773123	6814124	-	41002	207	166	133	130	125	92	212	147
gene-LOC105275827	NC_039516.1	6819158	6826684	-	7527	2999	2833	2033	2193	2487	2027	3683	2659
gene-LOC105275826	NC_039516.1	6826776	6831938	+	5163	1317	1015	837	1087	1130	928	1647	1092
gene-LOC105275824	NC_039516.1	6834208	6840416	+	6209	19	21	3	108	2	7	5	3
gene-LOC105275825	NC_039516.1	6840294	6843455	-	3162	22	7	23	40	6	23	6	7
gene-LOC105275822	NC_039516.1	6843554	6846460	-	2907	706	632	358	393	323	296	648	645
gene-LOC105275821	NC_039516.1	6847508	6849619	+	2112	29	94	28	158	17	43	35	58
gene-LOC105275820	NC_039516.1	6849615	6870660	-	21046	3547	3215	1720	1965	2176	1691	4229	2964
gene-LOC105275816	NC_039516.1	6872350	6880254	-	7905	3413	2808	2250	1986	2863	1882	4110	2933
gene-LOC113562957	NC_039516.1	6881009	6969126	+	88118	98	131	59	86	41	59	67	121
gene-LOC105275817	NC_039516.1	6965401	6967770	-	2370	0	0	0	0	0	0	0	0
gene-LOC105275819	NC_039516.1	6968181	7235139	+	266959	3992	3671	2291	2616	2389	1654	3476	2720
gene-LOC105275818	NC_039516.1	7190313	7202026	+	11714	0	0	0	0	0	0	0	0
gene-LOC105275813	NC_039516.1	7235315	7241795	-	6481	13172	12050	7461	7148	7853	7851	14255	12270
gene-LOC105275814	NC_039516.1	7241947	7247730	-	5784	7941	6940	4592	4531	4933	4658	9031	6796
gene-LOC105275812	NC_039516.1	7248249	7252272	+	4024	1965	1762	1386	1289	1484	1407	2146	1678
gene-LOC105275809	NC_039516.1	7254002	7257991	-	3990	3909	3669	2608	2245	2629	2336	4510	3859
gene-LOC105275810	NC_039516.1	7258201	7261075	+	2875	1416	1129	830	821	1004	902	1542	1135
gene-LOC105275811	NC_039516.1	7261018	7264612	-	3595	2226	2398	1482	1407	1600	1598	2630	2448
gene-LOC105275808	NC_039516.1	7264826	7269140	+	4315	544	627	483	339	1000	785	669	544
gene-LOC105275805	NC_039516.1	7269708	7289803	+	20096	25	131	32	51	24	30	38	51
gene-LOC105275806	NC_039516.1	7290159	7296999	-	6841	2677	2233	1422	1389	1628	1337	2944	1951
gene-LOC105275803	NC_039516.1	7298910	7303911	+	5002	3460	3033	2393	2335	2412	2244	3811	2923
gene-LOC105275804	NC_039516.1	7304047	7314175	+	10129	6752	6525	5682	5613	6276	5922	7962	6893
gene-LOC105275801	NC_039516.1	7314502	7319784	-	5283	3013	2650	2044	1946	2232	1489	2808	2316
gene-LOC105275802	NC_039516.1	7320982	7330401	-	9420	1722	1969	1703	1664	1940	1820	2079	1940
gene-LOC105275907	NC_039516.1	7330559	7334700	-	4142	522	520	337	487	360	458	603	508
gene-LOC105275799	NC_039516.1	7334796	7337815	+	3020	356	307	180	154	192	157	298	199
gene-LOC105275800	NC_039516.1	7336878	7340527	-	3650	4	4	5	7	8	8	5	4
gene-LOC105275906	NC_039516.1	7338281	7362132	+	23852	65	112	59	69	46	36	41	68
gene-LOC105275798	NC_039516.1	7363231	7367970	-	4740	0	3	0	3	0	0	0	1
gene-LOC105275905	NC_039516.1	7382821	7387427	-	4607	11	16	2	6	7	1	2	7
gene-LOC105275795	NC_039516.1	7387878	7389327	+	1450	980	830	542	563	554	547	1056	958
gene-LOC105275796	NC_039516.1	7389289	7392935	-	3647	7475	6473	4223	4027	5064	5032	8432	7384
gene-LOC105275797	NC_039516.1	7395135	7403643	+	8509	3693	3454	3109	2109	3234	2176	3475	2586
gene-LOC105275788	NC_039516.1	7413606	7420126	-	6521	10389	10759	8939	8422	8414	9112	12551	9179
gene-LOC105275789	NC_039516.1	7420233	7424107	+	3875	3694	3410	1828	2075	2252	2376	4158	3882
gene-LOC113562894	NC_039516.1	7422901	7423681	-	781	0	0	0	0	0	0	0	0
gene-LOC105275792	NC_039516.1	7424774	7427251	-	2478	9555	7243	4749	5347	5684	6826	11646	9968
gene-LOC105275793	NC_039516.1	7427273	7429501	+	2229	1105	1449	604	702	595	850	837	1295
gene-LOC105275782	NC_039516.1	7429067	7434593	-	5527	2037	2573	1104	1209	1083	1204	2012	2253
gene-LOC105275783	NC_039516.1	7434741	7435942	-	1202	706	739	312	398	322	458	674	841
gene-LOC105275784	NC_039516.1	7435988	7438368	+	2381	7662	6332	4212	3932	4881	4447	8486	6644
gene-LOC105275785	NC_039516.1	7438274	7440715	-	2442	10781	7488	5266	5237	5452	4662	9906	7902
gene-LOC105275787	NC_039516.1	7441778	7443842	+	2065	147	188	103	93	95	106	71	121
gene-LOC105275781	NC_039516.1	7444132	7447943	-	3812	900	1024	602	632	657	606	893	750
gene-LOC105275780	NC_039516.1	7448215	7452331	+	4117	7391	8039	5781	5046	6125	6744	8491	7854
gene-LOC105275779	NC_039516.1	7453166	7457747	-	4582	5955	4694	3413	3431	3959	3429	7256	4787
gene-LOC105275778	NC_039516.1	7458602	7467142	+	8541	462	403	257	302	57	78	196	219
gene-LOC105288158	NC_039516.1	7485986	7495738	-	9753	2316	1869	1669	1876	1946	1672	3135	1869
gene-LOC105288156	NC_039516.1	7495859	7499609	+	3751	187	175	387	417	489	570	185	178
gene-LOC105286918	NC_039516.1	7508151	7514070	+	5920	0	2	3	0	1	0	2	0
gene-LOC105286917	NC_039516.1	7512231	7518594	-	6364	1	3	1	10	12	8	1	8
gene-LOC113562898	NC_039516.1	7535798	7537746	-	1949	63	46	34	29	28	27	30	29
gene-LOC113562958	NC_039516.1	7542102	7568224	+	26123	5	4	9	22	9	11	2	2
gene-LOC105287086	NC_039516.1	7571094	7572351	+	1258	0	0	0	0	0	0	0	0
gene-LOC113562996	NC_039516.1	7589550	7589743	-	194	0	8	2	1	0	2	3	3
gene-LOC105282314	NC_039516.1	7613636	7619801	+	6166	0	1	0	2	3	3	1	1
gene-LOC113562889	NC_039516.1	7631668	7634094	-	2427	2009	1843	1047	971	1100	1021	2188	1507
gene-LOC113561389	NC_039516.1	7634243	7635142	+	900	204	174	132	121	121	129	187	159
gene-LOC113562959	NC_039516.1	7634915	7636446	-	1532	33	21	9	17	14	16	24	16
gene-LOC105281924	NC_039516.1	7668435	7669943	-	1509	1	0	0	3	0	1	1	3
gene-LOC105283085	NC_039516.1	7728435	7732112	-	3678	3	0	1	6	1	1	3	1
gene-LOC105283087	NC_039516.1	7734205	7873036	-	138832	21	23	32	59	47	35	18	18
gene-LOC113562960	NC_039516.1	7921375	7922445	+	1071	0	0	0	0	0	0	0	0
gene-LOC113562961	NC_039516.1	8006735	8007379	-	645	1	1	2	2	4	1	1	4
gene-LOC105275440	NC_039516.1	8075791	8077457	+	1667	0	0	0	0	0	0	0	0
gene-LOC105275441	NC_039516.1	8093836	8094369	-	534	0	0	0	0	0	0	0	0
gene-LOC113562963	NC_039516.1	8106319	8107593	-	1275	0	0	1	0	0	0	0	0
gene-LOC105275443	NC_039516.1	8127155	8128183	+	1029	0	0	1	0	0	0	0	0
gene-LOC113562964	NC_039516.1	8155469	8157366	-	1898	0	0	0	0	0	0	0	0
gene-LOC105285968	NC_039516.1	8198639	8510774	+	312136	75	81	96	136	109	103	68	72
gene-LOC113562911	NC_039516.1	8327571	8332341	+	4771	0	0	0	0	0	0	0	0
gene-LOC113562912	NC_039516.1	8375042	8375400	-	359	0	0	0	0	0	0	0	0
gene-LOC105285969	NC_039516.1	8502162	8503460	-	1299	0	0	0	0	0	0	0	0
gene-LOC109611404	NC_039516.1	8512601	8515449	+	2849	0	0	0	0	1	2	0	0
gene-LOC113562935	NC_039516.1	8551613	8553465	-	1853	94	67	56	72	99	126	159	175
gene-LOC113562966	NC_039516.1	8571926	8573101	+	1176	0	0	0	0	0	0	0	0
gene-LOC105286813	NC_039516.1	8592942	8602666	+	9725	3096	2850	2131	1932	2584	2021	4092	2905
gene-LOC105286812	NC_039516.1	8602539	8605005	-	2467	864	731	512	456	716	511	993	628
gene-LOC113562917	NC_039516.1	8609609	8610143	+	535	7	2	2	3	4	5	4	3
gene-LOC105276649	NC_039516.1	8613192	8613463	-	272	1	4	6	1	6	8	1	2
gene-LOC105276648	NC_039516.1	8617500	8669129	+	51630	4412	4165	4137	3799	4578	3994	4303	3019
gene-LOC105276647	NC_039516.1	8676492	8677165	+	674	1	1	3	0	5	3	4	4
gene-LOC105276645	NC_039516.1	8678530	8691877	-	13348	3423	3782	2702	2237	2631	2724	3774	3837
gene-LOC105276646	NC_039516.1	8692032	8694254	+	2223	32	56	37	29	20	38	27	22
gene-LOC105276643	NC_039516.1	8697611	8710209	-	12599	6724	5646	4584	4067	4929	3744	7303	4627
gene-LOC105276644	NC_039516.1	8710462	8715278	-	4817	14935	12197	9525	7851	10213	7808	15538	11223
gene-LOC105276642	NC_039516.1	8717001	8746303	-	29303	9046	7694	6039	5766	6292	5214	7197	5488
gene-LOC105276641	NC_039516.1	8746633	8748289	+	1657	3713	3592	2179	1927	2482	2286	4062	3888
gene-LOC105276640	NC_039516.1	8753895	8755059	+	1165	131	177	95	126	73	158	143	172
gene-LOC113562916	NC_039516.1	8755899	8756240	-	342	7	4	0	4	0	1	2	5
gene-LOC113562914	NC_039516.1	8758378	8759424	+	1047	31	50	18	35	7	27	17	35
gene-LOC113562915	NC_039516.1	8768666	8769832	+	1167	38	59	19	50	27	45	33	51
gene-LOC105276650	NC_039516.1	8769250	8781519	-	12270	81	133	56	90	58	100	112	115
gene-LOC105276639	NC_039516.1	8783317	8788120	+	4804	1954	2055	1418	1425	1537	1556	2298	2199
gene-LOC105276638	NC_039516.1	8788784	8792433	-	3650	6484	5529	4181	3808	5043	3825	8134	5689
gene-LOC105276637	NC_039516.1	8792640	8801733	+	9094	3762	3429	2697	1945	2672	2201	4115	2982
gene-LOC109610804	NC_039516.1	8792675	8793922	+	1248	0	0	0	0	0	0	0	0
gene-LOC105280603	NC_039516.1	8802255	8818078	-	15824	5220	4904	3677	3936	3696	3968	5847	4622
gene-LOC105280610	NC_039516.1	8806719	8810653	+	3935	0	0	0	0	0	0	0	0
gene-LOC105280605	NC_039516.1	8818799	8826100	-	7302	1561	1403	1204	1265	1208	1193	1844	1216
gene-LOC105280604	NC_039516.1	8819328	8820079	+	752	0	0	0	0	0	0	0	0
gene-LOC105280600	NC_039516.1	8828811	8836562	+	7752	1214	1311	893	867	917	893	1365	1336
gene-LOC105280601	NC_039516.1	8838009	8842045	-	4037	7013	6006	4270	4853	4458	4903	7343	6089
gene-LOC105280609	NC_039516.1	8839768	8841330	+	1563	0	0	0	0	0	0	0	0
gene-LOC105280599	NC_039516.1	8842328	8843730	+	1403	1972	1938	1157	989	1264	1248	1976	1947
gene-LOC105280598	NC_039516.1	8844723	8846650	+	1928	1884	1857	1214	1072	1164	1307	2019	1858
gene-LOC105280595	NC_039516.1	8846986	8853847	+	6862	966	861	760	746	768	763	1155	910
gene-LOC105280596	NC_039516.1	8853784	8857217	-	3434	3085	3124	1663	1623	1772	2015	3635	3558
gene-LOC105280594	NC_039516.1	8858217	8859480	-	1264	1336	1561	660	796	723	917	1312	1549
gene-LOC105280608	NC_039516.1	8863393	8865061	-	1669	12	8	6	12	8	10	4	1
gene-LOC113562967	NC_039516.1	8877232	8884319	-	7088	4	5	6	2	5	3	5	2
gene-LOC105280593	NC_039516.1	9008208	9087165	-	78958	2427	2373	1176	1671	1831	1216	2381	1778
gene-LOC105280592	NC_039516.1	9117372	9126249	-	8878	30	37	26	39	26	26	27	17
gene-LOC105280591	NC_039516.1	9196922	9198967	+	2046	826	759	369	393	381	480	806	812
gene-LOC105280590	NC_039516.1	9206106	9216200	+	10095	80	84	27	42	103	57	109	60
gene-LOC105280589	NC_039516.1	9218623	9221506	+	2884	687	714	504	407	473	386	764	560
gene-LOC113562929	NC_039516.1	9222968	9224248	-	1281	24	32	19	21	36	18	21	12
gene-LOC113562968	NC_039516.1	9224261	9234784	-	10524	50	55	32	55	48	30	48	54
gene-LOC113562943	NC_039516.1	9250523	9251494	-	972	305	235	156	177	178	134	336	285
gene-LOC105277530	NC_039516.1	9251651	9283053	+	31403	21290	16733	17929	16802	15810	11271	20633	14504
gene-LOC105277515	NC_039516.1	9283527	9287730	+	4204	104	90	85	88	94	73	173	83
gene-LOC105277523	NC_039516.1	9287279	9290515	-	3237	1471	1236	883	785	925	944	1687	1309
gene-LOC105277498	NC_039516.1	9290623	9293831	+	3209	4433	4479	3228	2626	3089	2705	4841	3973
gene-LOC105277455	NC_039516.1	9294130	9305865	-	11736	6188	4637	4139	4236	4302	3121	6791	4134
gene-LOC105277448	NC_039516.1	9306467	9309905	+	3439	627	689	581	626	628	706	996	803
gene-LOC105277435	NC_039516.1	9310038	9313680	-	3643	57	222	41	354	54	302	64	213
gene-LOC105277423	NC_039516.1	9315161	9317500	-	2340	2781	2765	1513	1801	1827	1997	3111	2989
gene-LOC105277418	NC_039516.1	9317735	9321102	+	3368	1491	1429	780	797	930	818	1551	1322
gene-LOC105277411	NC_039516.1	9321235	9322350	-	1116	1557	1547	1070	778	1142	875	1721	1665
gene-LOC105277393	NC_039516.1	9322414	9323212	+	799	895	1168	550	573	498	619	641	1001
gene-LOC105277400	NC_039516.1	9323157	9326476	-	3320	6009	10460	2669	4414	1576	4031	2793	8490
gene-LOC105277374	NC_039516.1	9328869	9332669	+	3801	3622	3321	2334	2135	2739	1953	4817	3380
gene-LOC105277279	NC_039516.1	9332996	9350952	-	17957	4513	3255	2668	2135	2822	1675	4949	2966
gene-LOC105277295	NC_039516.1	9351105	9355330	-	4226	3580	4370	1915	2615	1754	2426	3149	4127
gene-LOC105277304	NC_039516.1	9355426	9356204	-	779	597	665	342	291	415	374	814	576
gene-LOC105277310	NC_039516.1	9356160	9357338	-	1179	448	459	249	249	323	335	546	486
gene-LOC105277328	NC_039516.1	9357704	9362825	+	5122	2790	2586	1281	1340	1401	1577	2865	2836
gene-LOC105277353	NC_039516.1	9362886	9363813	-	928	1633	1461	1004	882	1195	992	1909	1534
gene-LOC105277366	NC_039516.1	9364086	9367063	+	2978	1374	1084	1310	1038	998	768	1295	945
gene-LOC105277371	NC_039516.1	9368068	9369883	-	1816	2035	1407	1038	893	1167	917	1988	1462
gene-LOC105277244	NC_039516.1	9370184	9382837	-	12654	12567	15408	8189	8054	6461	7894	8684	12212
gene-LOC105277254	NC_039516.1	9383145	9384521	-	1377	552	569	285	275	247	299	467	505
gene-LOC105277271	NC_039516.1	9384585	9389260	+	4676	537	629	326	458	324	499	561	766
gene-LOC105277237	NC_039516.1	9389294	9390221	+	928	360	329	136	152	228	212	363	132
gene-LOC105277231	NC_039516.1	9391178	9392359	-	1182	1714	1534	1101	934	1244	1039	1947	1524
gene-LOC105277223	NC_039516.1	9393416	9399212	+	5797	6319	5340	2916	2990	3464	3178	6386	5086
gene-LOC113562936	NC_039516.1	9398565	9400650	-	2086	179	271	130	139	127	143	204	300
gene-LOC105277217	NC_039516.1	9401023	9403567	+	2545	1075	1007	590	607	645	593	1214	1083
gene-LOC105277149	NC_039516.1	9403961	9462314	-	58354	2635	2304	2003	1976	2386	1619	2838	1821
